iter	Passed	Remaining
489	1905	1983
490	1909	1979
491	1913	1975
492	1916	1971
493	1920	1967
494	1924	1963
495	1928	1959
496	1932	1955
497	1936	1951
498	1940	1948
499	1944	1944
500	1948	1940
501	1952	1936
502	1956	1932
503	1959	1928
504	1963	1924
505	1967	1921
506	1971	1916
507	1975	1913
508	1979	1909
509	1983	1905
510	1987	1901
511	1990	1897
512	1994	1893
513	1997	1889
514	2001	1885
515	2005	1881
516	2009	1877
517	2012	1873
518	2016	1868
519	2020	1865
520	2024	1861
521	2028	1857
522	2031	1853
523	2035	1849
524	2039	1845
525	2043	1841
526	2047	1837
527	2050	1833
528	2054	1829
529	2058	1825
530	2062	1821
531	2066	1817
532	2070	1814
533	2074	1810
534	2078	1806
535	2082	1802
536	2085	1798
537	2089	1794
538	2093	1790
539	2097	1786
540	2102	1783
541	2105	1779
542	2109	1775
543	2113	1771
544	2117	1768
545	2121	1763
546	2125	1760
547	2129	1756
548	2132	1752
549	2136	1748
550	2140	1744
551	2144	1740
552	2148	1736
553	2152	1732
554	2156	1729
555	2160	1724
556	2164	1721
557	2167	1717
558	2171	1713
559	2175	1709
560	2179	1705
561	2182	1701
562	2186	1697
563	2190	1693
564	2194	1689
565	2198	1685
566	2202	1681
567	2206	1678
568	2210	1674
569	2213	1670
570	2217	1666
571	2221	1662
572	2225	1658
573	2228	1654
574	2232	1650
575	2236	1646
576	2240	1642
577	2244	1638
578	2247	1634
579	2251	1630
580	2255	1626
581	2259	1623
582	2263	1619
583	2267	1615
584	2271	1611
585	2275	1607
586	2279	1603
587	2283	1600
588	2287	1596
589	2292	1592
590	2296	1589
591	2301	1586
592	2305	1582
593	2309	1578
594	2313	1574
595	2317	1571
596	2321	1567
597	2326	1563
598	2330	1560
599	2334	1556
600	2339	1552
601	2343	1549
602	2346	1545
603	2351	1541
604	2355	1537
605	2359	1534
606	2363	1530
607	2367	1526
608	2371	1522
609	2375	1518
610	2379	1514
611	2383	1510
612	2387	1507
613	2391	1503
614	2395	1499
615	2399	1495
616	2402	1491
617	2406	1487
618	2410	1483
619	2414	1480
620	2418	1476
621	2422	1472
622	2426	1468
623	2430	1464
624	2434	1460
625	2438	1456
626	2442	1452
627	2446	1449
628	2450	1445
629	2454	1441
630	2457	1437
631	2461	1433
632	2466	1429
633	2469	1425
634	2473	1421
635	2477	1417
636	2481	1413
637	2484	1409
638	2488	1406
639	2492	1402
640	2496	1398
641	2500	1394
642	2504	1390
643	2508	1386
644	2512	1382
645	2515	1378
646	2519	1374
647	2523	1370
648	2527	1366
649	2530	1362
650	2534	1358
651	2538	1354
652	2541	1350
653	2545	1346
654	2549	1342
655	2553	1339
656	2557	1334
657	2560	1331
658	2564	1326
659	2568	1323
660	2571	1319
661	2575	1315
662	2579	1311
663	2583	1307
664	2587	1303
665	2590	1299
666	2594	1295
667	2598	1291
668	2602	1287
669	2605	1283
670	2609	1279
671	2613	1275
672	2617	1271
673	2621	1267
674	2624	1263
675	2628	1259
676	2632	1255
677	2636	1251
678	2640	1248
679	2643	1244
680	2647	1240
681	2651	1236
682	2655	1232
683	2659	1228
684	2663	1224
685	2667	1220
686	2671	1216
687	2677	1214
688	2681	1210
689	2685	1206
690	2689	1202
691	2693	1198
692	2697	1194
693	2700	1190
694	2704	1186
695	2708	1182
696	2711	1178
697	2715	1174
698	2719	1170
699	2723	1167
700	2726	1163
701	2730	1159
702	2734	1155
703	2737	1151
704	2741	1147
705	2745	1143
706	2749	1139
707	2752	1135
708	2756	1131
709	2760	1127
710	2764	1123
711	2768	1119
712	2772	1116
713	2776	1112
714	2780	1108
715	2784	1104
716	2788	1100
717	2792	1096
718	2796	1093
719	2801	1089
720	2805	1085
721	2809	1081
722	2814	1078
723	2818	1074
724	2822	1070
725	2825	1066
726	2830	1062
727	2834	1059
728	2838	1055
729	2842	1051
730	2846	1047
731	2850	1043
732	2854	1039
733	2858	1036
734	2863	1032
735	2866	1028
736	2871	1024
737	2875	1020
738	2878	1016
739	2882	1012
740	2887	1009
741	2891	1005
742	2895	1001
743	2899	997
744	2903	993
745	2908	990
746	2912	986
747	2916	982
748	2920	978
749	2924	974
750	2928	970
751	2932	967
752	2937	963
753	2941	959
754	2946	956
755	2950	952
756	2954	948
757	2958	944
758	2962	940
759	2966	936
760	2970	932
761	2974	929
762	2978	925
763	2982	921
764	2986	917
765	2989	913
766	2994	909
767	2998	905
768	3002	901
769	3006	898
770	3010	894
771	3014	890
772	3018	886
773	3021	882
774	3026	878
775	3029	874
776	3033	870
777	3036	866
778	3040	862
779	3044	858
780	3048	854
781	3053	851
782	3057	847
783	3060	843
784	3064	839
785	3068	835
786	3072	831
787	3076	827
788	3080	823
789	3084	820
790	3088	816
791	3092	812
792	3096	808
793	3102	804
794	3106	801
795	3110	797
796	3114	793
797	3118	789
798	3122	785
799	3125	781
800	3129	777
801	3133	773
802	3136	769
803	3140	765
804	3144	761
805	3148	757
806	3152	753
807	3155	749
808	3159	745
809	3162	741
810	3166	737
811	3170	733
812	3173	730
813	3177	726
814	3181	722
815	3185	718
816	3188	714
817	3192	710
818	3196	706
819	3200	702
820	3203	698
821	3207	694
822	3211	690
823	3215	686
824	3219	682
825	3223	678
826	3227	675
827	3230	671
828	3234	667
829	3237	663
830	3242	659
831	3246	655
832	3250	651
833	3255	647
834	3259	644
835	3262	640
836	3267	636
837	3271	632
838	3276	628
839	3280	624
840	3285	621
841	3289	617
842	3293	613
843	3297	609
844	3301	605
845	3305	601
846	3310	597
847	3314	594
848	3318	590
849	3323	586
850	3327	582
851	3331	578
852	3335	574
853	3339	570
854	3343	567
855	3348	563
856	3352	559
857	3356	555
858	3360	551
859	3364	547
860	3368	543
861	3372	539
862	3376	536
863	3380	532
864	3384	528
865	3388	524
866	3392	520
867	3396	516
868	3400	512
869	3404	508
870	3407	504
871	3411	500
872	3415	496
873	3419	492
874	3423	489
875	3426	485
876	3430	481
877	3434	477
878	3438	473
879	3443	469
880	3447	465
881	3451	461
882	3454	457
883	3458	453
884	3462	449
885	3465	445
886	3470	442
887	3474	438
888	3478	434
889	3482	430
890	3486	426
891	3490	422
892	3494	418
893	3498	414
894	3502	410
895	3506	406
896	3509	403
897	3513	399
898	3517	395
899	3521	391
900	3525	387
901	3529	383
902	3533	379
903	3536	375
904	3540	371
905	3544	367
906	3548	363
907	3552	359
908	3556	356
909	3560	352
910	3564	348
911	3567	344
912	3572	340
913	3576	336
914	3580	332
915	3584	328
916	3587	324
917	3591	320
918	3595	316
919	3599	312
920	3602	309
921	3606	305
922	3610	301
923	3613	297
924	3617	293
925	3620	289
926	3624	285
927	3628	281
928	3631	277
929	3635	273
930	3639	269
931	3642	265
932	3646	261
933	3649	257
934	3653	253
935	3656	250
936	3660	246
937	3664	242
938	3668	238
939	3671	234
940	3675	230
941	3678	226
942	3682	222
943	3686	218
944	3689	214
945	3693	210
946	3697	206
947	3700	202
948	3704	199
949	3707	195
950	3711	191
951	3714	187
952	3718	183
953	3721	179
954	3725	175
955	3728	171
956	3732	167
957	3735	163
958	3739	159
959	3742	155
960	3746	152
961	3749	148
962	3753	144
963	3756	140
964	3760	136
965	3763	132
966	3767	128
967	3770	124
968	3774	120
969	3777	116
970	3781	112
971	3784	109
972	3788	105
973	3792	101
974	3796	97
975	3800	93
976	3804	89
977	3807	85
978	3811	81
979	3816	77
980	3819	73
981	3824	70
982	3828	66
983	3832	62
984	3837	58
985	3840	54
986	3845	50
987	3849	46
988	3852	42
989	3857	38
990	3860	35
991	3864	31
992	3868	27
993	3872	23
994	3877	19
995	3881	15
996	3884	11
997	3888	7
998	3892	3
999	3896	0
